period,msn,Item,seriesDescription,value,unit
1955,TXEIBUS,PrimEnergyUse5_ElectricPower,Total Primary Energy Consumed by the Electric Power Sector in Trillion Btu,5525.247,Trillion Btu
1956,TXEIBUS,PrimEnergyUse5_ElectricPower,Total Primary Energy Consumed by the Electric Power Sector in Trillion Btu,5960.698,Trillion Btu
1957,TXEIBUS,PrimEnergyUse5_ElectricPower,Total Primary Energy Consumed by the Electric Power Sector in Trillion Btu,6195.295,Trillion Btu
1958,TXEIBUS,PrimEnergyUse5_ElectricPower,Total Primary Energy Consumed by the Electric Power Sector in Trillion Btu,6121.705,Trillion Btu
1959,TXEIBUS,PrimEnergyUse5_ElectricPower,Total Primary Energy Consumed by the Electric Power Sector in Trillion Btu,6752.943,Trillion Btu
1960,TXEIBUS,PrimEnergyUse5_ElectricPower,Total Primary Energy Consumed by the Electric Power Sector in Trillion Btu,7086.1,Trillion Btu
1961,TXEIBUS,PrimEnergyUse5_ElectricPower,Total Primary Energy Consumed by the Electric Power Sector in Trillion Btu,7349.463,Trillion Btu
1962,TXEIBUS,PrimEnergyUse5_ElectricPower,Total Primary Energy Consumed by the Electric Power Sector in Trillion Btu,7821.945,Trillion Btu
1963,TXEIBUS,PrimEnergyUse5_ElectricPower,Total Primary Energy Consumed by the Electric Power Sector in Trillion Btu,8451.821,Trillion Btu
1964,TXEIBUS,PrimEnergyUse5_ElectricPower,Total Primary Energy Consumed by the Electric Power Sector in Trillion Btu,9063.572,Trillion Btu
1965,TXEIBUS,PrimEnergyUse5_ElectricPower,Total Primary Energy Consumed by the Electric Power Sector in Trillion Btu,9645.995,Trillion Btu
1966,TXEIBUS,PrimEnergyUse5_ElectricPower,Total Primary Energy Consumed by the Electric Power Sector in Trillion Btu,10617.46,Trillion Btu
1967,TXEIBUS,PrimEnergyUse5_ElectricPower,Total Primary Energy Consumed by the Electric Power Sector in Trillion Btu,11137.386,Trillion Btu
1968,TXEIBUS,PrimEnergyUse5_ElectricPower,Total Primary Energy Consumed by the Electric Power Sector in Trillion Btu,12324.49,Trillion Btu
1969,TXEIBUS,PrimEnergyUse5_ElectricPower,Total Primary Energy Consumed by the Electric Power Sector in Trillion Btu,13402.823,Trillion Btu
1970,TXEIBUS,PrimEnergyUse5_ElectricPower,Total Primary Energy Consumed by the Electric Power Sector in Trillion Btu,14495.311,Trillion Btu
1971,TXEIBUS,PrimEnergyUse5_ElectricPower,Total Primary Energy Consumed by the Electric Power Sector in Trillion Btu,15232.172,Trillion Btu
1972,TXEIBUS,PrimEnergyUse5_ElectricPower,Total Primary Energy Consumed by the Electric Power Sector in Trillion Btu,16540.549,Trillion Btu
1973,TXEIBUS,PrimEnergyUse5_ElectricPower,Total Primary Energy Consumed by the Electric Power Sector in Trillion Btu,17818.591,Trillion Btu
1974,TXEIBUS,PrimEnergyUse5_ElectricPower,Total Primary Energy Consumed by the Electric Power Sector in Trillion Btu,17771.747,Trillion Btu
1975,TXEIBUS,PrimEnergyUse5_ElectricPower,Total Primary Energy Consumed by the Electric Power Sector in Trillion Btu,18149.008,Trillion Btu
1976,TXEIBUS,PrimEnergyUse5_ElectricPower,Total Primary Energy Consumed by the Electric Power Sector in Trillion Btu,19472.705,Trillion Btu
1977,TXEIBUS,PrimEnergyUse5_ElectricPower,Total Primary Energy Consumed by the Electric Power Sector in Trillion Btu,20977.078,Trillion Btu
1978,TXEIBUS,PrimEnergyUse5_ElectricPower,Total Primary Energy Consumed by the Electric Power Sector in Trillion Btu,21583.793,Trillion Btu
1979,TXEIBUS,PrimEnergyUse5_ElectricPower,Total Primary Energy Consumed by the Electric Power Sector in Trillion Btu,21974.232,Trillion Btu
1980,TXEIBUS,PrimEnergyUse5_ElectricPower,Total Primary Energy Consumed by the Electric Power Sector in Trillion Btu,22308.519,Trillion Btu
1981,TXEIBUS,PrimEnergyUse5_ElectricPower,Total Primary Energy Consumed by the Electric Power Sector in Trillion Btu,22549.258,Trillion Btu
1982,TXEIBUS,PrimEnergyUse5_ElectricPower,Total Primary Energy Consumed by the Electric Power Sector in Trillion Btu,21767.831,Trillion Btu
1983,TXEIBUS,PrimEnergyUse5_ElectricPower,Total Primary Energy Consumed by the Electric Power Sector in Trillion Btu,22209.673,Trillion Btu
1984,TXEIBUS,PrimEnergyUse5_ElectricPower,Total Primary Energy Consumed by the Electric Power Sector in Trillion Btu,23323.491,Trillion Btu
1985,TXEIBUS,PrimEnergyUse5_ElectricPower,Total Primary Energy Consumed by the Electric Power Sector in Trillion Btu,23987.993,Trillion Btu
1986,TXEIBUS,PrimEnergyUse5_ElectricPower,Total Primary Energy Consumed by the Electric Power Sector in Trillion Btu,24108.324,Trillion Btu
1987,TXEIBUS,PrimEnergyUse5_ElectricPower,Total Primary Energy Consumed by the Electric Power Sector in Trillion Btu,25162.382,Trillion Btu
1988,TXEIBUS,PrimEnergyUse5_ElectricPower,Total Primary Energy Consumed by the Electric Power Sector in Trillion Btu,26614.512,Trillion Btu
1989,TXEIBUS,PrimEnergyUse5_ElectricPower,Total Primary Energy Consumed by the Electric Power Sector in Trillion Btu,27860.348,Trillion Btu
1990,TXEIBUS,PrimEnergyUse5_ElectricPower,Total Primary Energy Consumed by the Electric Power Sector in Trillion Btu,28339.735,Trillion Btu
1991,TXEIBUS,PrimEnergyUse5_ElectricPower,Total Primary Energy Consumed by the Electric Power Sector in Trillion Btu,28710.831,Trillion Btu
1992,TXEIBUS,PrimEnergyUse5_ElectricPower,Total Primary Energy Consumed by the Electric Power Sector in Trillion Btu,28855.532,Trillion Btu
1993,TXEIBUS,PrimEnergyUse5_ElectricPower,Total Primary Energy Consumed by the Electric Power Sector in Trillion Btu,29793.273,Trillion Btu
1994,TXEIBUS,PrimEnergyUse5_ElectricPower,Total Primary Energy Consumed by the Electric Power Sector in Trillion Btu,30510.65,Trillion Btu
1995,TXEIBUS,PrimEnergyUse5_ElectricPower,Total Primary Energy Consumed by the Electric Power Sector in Trillion Btu,31253.914,Trillion Btu
1996,TXEIBUS,PrimEnergyUse5_ElectricPower,Total Primary Energy Consumed by the Electric Power Sector in Trillion Btu,31996.566,Trillion Btu
1997,TXEIBUS,PrimEnergyUse5_ElectricPower,Total Primary Energy Consumed by the Electric Power Sector in Trillion Btu,32375.544,Trillion Btu
1998,TXEIBUS,PrimEnergyUse5_ElectricPower,Total Primary Energy Consumed by the Electric Power Sector in Trillion Btu,33944.213,Trillion Btu
1999,TXEIBUS,PrimEnergyUse5_ElectricPower,Total Primary Energy Consumed by the Electric Power Sector in Trillion Btu,34696.467,Trillion Btu
2000,TXEIBUS,PrimEnergyUse5_ElectricPower,Total Primary Energy Consumed by the Electric Power Sector in Trillion Btu,36082.647,Trillion Btu
2001,TXEIBUS,PrimEnergyUse5_ElectricPower,Total Primary Energy Consumed by the Electric Power Sector in Trillion Btu,35590.331,Trillion Btu
2002,TXEIBUS,PrimEnergyUse5_ElectricPower,Total Primary Energy Consumed by the Electric Power Sector in Trillion Btu,36083.239,Trillion Btu
2003,TXEIBUS,PrimEnergyUse5_ElectricPower,Total Primary Energy Consumed by the Electric Power Sector in Trillion Btu,36030.113,Trillion Btu
2004,TXEIBUS,PrimEnergyUse5_ElectricPower,Total Primary Energy Consumed by the Electric Power Sector in Trillion Btu,36755.559,Trillion Btu
2005,TXEIBUS,PrimEnergyUse5_ElectricPower,Total Primary Energy Consumed by the Electric Power Sector in Trillion Btu,37648.817,Trillion Btu
2006,TXEIBUS,PrimEnergyUse5_ElectricPower,Total Primary Energy Consumed by the Electric Power Sector in Trillion Btu,37282.796,Trillion Btu
2007,TXEIBUS,PrimEnergyUse5_ElectricPower,Total Primary Energy Consumed by the Electric Power Sector in Trillion Btu,38457.844,Trillion Btu
2008,TXEIBUS,PrimEnergyUse5_ElectricPower,Total Primary Energy Consumed by the Electric Power Sector in Trillion Btu,37881.009,Trillion Btu
2009,TXEIBUS,PrimEnergyUse5_ElectricPower,Total Primary Energy Consumed by the Electric Power Sector in Trillion Btu,35775.239,Trillion Btu
2010,TXEIBUS,PrimEnergyUse5_ElectricPower,Total Primary Energy Consumed by the Electric Power Sector in Trillion Btu,37274.647,Trillion Btu
2011,TXEIBUS,PrimEnergyUse5_ElectricPower,Total Primary Energy Consumed by the Electric Power Sector in Trillion Btu,36426.365,Trillion Btu
2012,TXEIBUS,PrimEnergyUse5_ElectricPower,Total Primary Energy Consumed by the Electric Power Sector in Trillion Btu,35479.917,Trillion Btu
2013,TXEIBUS,PrimEnergyUse5_ElectricPower,Total Primary Energy Consumed by the Electric Power Sector in Trillion Btu,35553.797,Trillion Btu
2014,TXEIBUS,PrimEnergyUse5_ElectricPower,Total Primary Energy Consumed by the Electric Power Sector in Trillion Btu,35746.743,Trillion Btu
2015,TXEIBUS,PrimEnergyUse5_ElectricPower,Total Primary Energy Consumed by the Electric Power Sector in Trillion Btu,35062.751,Trillion Btu
2016,TXEIBUS,PrimEnergyUse5_ElectricPower,Total Primary Energy Consumed by the Electric Power Sector in Trillion Btu,34557.919,Trillion Btu
2017,TXEIBUS,PrimEnergyUse5_ElectricPower,Total Primary Energy Consumed by the Electric Power Sector in Trillion Btu,33636.146,Trillion Btu
2018,TXEIBUS,PrimEnergyUse5_ElectricPower,Total Primary Energy Consumed by the Electric Power Sector in Trillion Btu,34513.649,Trillion Btu
2019,TXEIBUS,PrimEnergyUse5_ElectricPower,Total Primary Energy Consumed by the Electric Power Sector in Trillion Btu,33342.553,Trillion Btu
2020,TXEIBUS,PrimEnergyUse5_ElectricPower,Total Primary Energy Consumed by the Electric Power Sector in Trillion Btu,31729.543,Trillion Btu
2021,TXEIBUS,PrimEnergyUse5_ElectricPower,Total Primary Energy Consumed by the Electric Power Sector in Trillion Btu,32563.864,Trillion Btu
2022,TXEIBUS,PrimEnergyUse5_ElectricPower,Total Primary Energy Consumed by the Electric Power Sector in Trillion Btu,33052.768,Trillion Btu
2023,TXEIBUS,PrimEnergyUse5_ElectricPower,Total Primary Energy Consumed by the Electric Power Sector in Trillion Btu,32128.321,Trillion Btu
2024,TXEIBUS,PrimEnergyUse5_ElectricPower,Total Primary Energy Consumed by the Electric Power Sector in Trillion Btu,32783.621,Trillion Btu
1949,GDPDIUS,GDP_Deflator2017,U.S. Gross Domestic Product Implicit Price Deflator in 2017 = 1.00000,.12046,2017 = 1.00000
1950,GDPDIUS,GDP_Deflator2017,U.S. Gross Domestic Product Implicit Price Deflator in 2017 = 1.00000,.12195,2017 = 1.00000
1951,GDPDIUS,GDP_Deflator2017,U.S. Gross Domestic Product Implicit Price Deflator in 2017 = 1.00000,.1306,2017 = 1.00000
1952,GDPDIUS,GDP_Deflator2017,U.S. Gross Domestic Product Implicit Price Deflator in 2017 = 1.00000,.13286,2017 = 1.00000
1953,GDPDIUS,GDP_Deflator2017,U.S. Gross Domestic Product Implicit Price Deflator in 2017 = 1.00000,.13447,2017 = 1.00000
1954,GDPDIUS,GDP_Deflator2017,U.S. Gross Domestic Product Implicit Price Deflator in 2017 = 1.00000,.13572,2017 = 1.00000
1955,GDPDIUS,GDP_Deflator2017,U.S. Gross Domestic Product Implicit Price Deflator in 2017 = 1.00000,.13801,2017 = 1.00000
1956,GDPDIUS,GDP_Deflator2017,U.S. Gross Domestic Product Implicit Price Deflator in 2017 = 1.00000,.14271,2017 = 1.00000
1957,GDPDIUS,GDP_Deflator2017,U.S. Gross Domestic Product Implicit Price Deflator in 2017 = 1.00000,.14744,2017 = 1.00000
1958,GDPDIUS,GDP_Deflator2017,U.S. Gross Domestic Product Implicit Price Deflator in 2017 = 1.00000,.1508,2017 = 1.00000
1959,GDPDIUS,GDP_Deflator2017,U.S. Gross Domestic Product Implicit Price Deflator in 2017 = 1.00000,.15287,2017 = 1.00000
1960,GDPDIUS,GDP_Deflator2017,U.S. Gross Domestic Product Implicit Price Deflator in 2017 = 1.00000,.15495,2017 = 1.00000
1961,GDPDIUS,GDP_Deflator2017,U.S. Gross Domestic Product Implicit Price Deflator in 2017 = 1.00000,.1566,2017 = 1.00000
1962,GDPDIUS,GDP_Deflator2017,U.S. Gross Domestic Product Implicit Price Deflator in 2017 = 1.00000,.1585,2017 = 1.00000
1963,GDPDIUS,GDP_Deflator2017,U.S. Gross Domestic Product Implicit Price Deflator in 2017 = 1.00000,.16032,2017 = 1.00000
1964,GDPDIUS,GDP_Deflator2017,U.S. Gross Domestic Product Implicit Price Deflator in 2017 = 1.00000,.16276,2017 = 1.00000
1965,GDPDIUS,GDP_Deflator2017,U.S. Gross Domestic Product Implicit Price Deflator in 2017 = 1.00000,.16574,2017 = 1.00000
1966,GDPDIUS,GDP_Deflator2017,U.S. Gross Domestic Product Implicit Price Deflator in 2017 = 1.00000,.17039,2017 = 1.00000
1967,GDPDIUS,GDP_Deflator2017,U.S. Gross Domestic Product Implicit Price Deflator in 2017 = 1.00000,.17533,2017 = 1.00000
1968,GDPDIUS,GDP_Deflator2017,U.S. Gross Domestic Product Implicit Price Deflator in 2017 = 1.00000,.1828,2017 = 1.00000
1969,GDPDIUS,GDP_Deflator2017,U.S. Gross Domestic Product Implicit Price Deflator in 2017 = 1.00000,.19176,2017 = 1.00000
1970,GDPDIUS,GDP_Deflator2017,U.S. Gross Domestic Product Implicit Price Deflator in 2017 = 1.00000,.20189,2017 = 1.00000
1971,GDPDIUS,GDP_Deflator2017,U.S. Gross Domestic Product Implicit Price Deflator in 2017 = 1.00000,.21212,2017 = 1.00000
1972,GDPDIUS,GDP_Deflator2017,U.S. Gross Domestic Product Implicit Price Deflator in 2017 = 1.00000,.2213,2017 = 1.00000
1973,GDPDIUS,GDP_Deflator2017,U.S. Gross Domestic Product Implicit Price Deflator in 2017 = 1.00000,.23342,2017 = 1.00000
1974,GDPDIUS,GDP_Deflator2017,U.S. Gross Domestic Product Implicit Price Deflator in 2017 = 1.00000,.25443,2017 = 1.00000
1975,GDPDIUS,GDP_Deflator2017,U.S. Gross Domestic Product Implicit Price Deflator in 2017 = 1.00000,.278,2017 = 1.00000
1976,GDPDIUS,GDP_Deflator2017,U.S. Gross Domestic Product Implicit Price Deflator in 2017 = 1.00000,.2933,2017 = 1.00000
1977,GDPDIUS,GDP_Deflator2017,U.S. Gross Domestic Product Implicit Price Deflator in 2017 = 1.00000,.31152,2017 = 1.00000
1978,GDPDIUS,GDP_Deflator2017,U.S. Gross Domestic Product Implicit Price Deflator in 2017 = 1.00000,.33343,2017 = 1.00000
1979,GDPDIUS,GDP_Deflator2017,U.S. Gross Domestic Product Implicit Price Deflator in 2017 = 1.00000,.3611,2017 = 1.00000
1980,GDPDIUS,GDP_Deflator2017,U.S. Gross Domestic Product Implicit Price Deflator in 2017 = 1.00000,.39371,2017 = 1.00000
1981,GDPDIUS,GDP_Deflator2017,U.S. Gross Domestic Product Implicit Price Deflator in 2017 = 1.00000,.43097,2017 = 1.00000
1982,GDPDIUS,GDP_Deflator2017,U.S. Gross Domestic Product Implicit Price Deflator in 2017 = 1.00000,.45759,2017 = 1.00000
1983,GDPDIUS,GDP_Deflator2017,U.S. Gross Domestic Product Implicit Price Deflator in 2017 = 1.00000,.47552,2017 = 1.00000
1984,GDPDIUS,GDP_Deflator2017,U.S. Gross Domestic Product Implicit Price Deflator in 2017 = 1.00000,.49267,2017 = 1.00000
1985,GDPDIUS,GDP_Deflator2017,U.S. Gross Domestic Product Implicit Price Deflator in 2017 = 1.00000,.50826,2017 = 1.00000
1986,GDPDIUS,GDP_Deflator2017,U.S. Gross Domestic Product Implicit Price Deflator in 2017 = 1.00000,.51849,2017 = 1.00000
1987,GDPDIUS,GDP_Deflator2017,U.S. Gross Domestic Product Implicit Price Deflator in 2017 = 1.00000,.53134,2017 = 1.00000
1988,GDPDIUS,GDP_Deflator2017,U.S. Gross Domestic Product Implicit Price Deflator in 2017 = 1.00000,.55008,2017 = 1.00000
1989,GDPDIUS,GDP_Deflator2017,U.S. Gross Domestic Product Implicit Price Deflator in 2017 = 1.00000,.57165,2017 = 1.00000
1990,GDPDIUS,GDP_Deflator2017,U.S. Gross Domestic Product Implicit Price Deflator in 2017 = 1.00000,.59305,2017 = 1.00000
1991,GDPDIUS,GDP_Deflator2017,U.S. Gross Domestic Product Implicit Price Deflator in 2017 = 1.00000,.6131,2017 = 1.00000
1992,GDPDIUS,GDP_Deflator2017,U.S. Gross Domestic Product Implicit Price Deflator in 2017 = 1.00000,.62707,2017 = 1.00000
1993,GDPDIUS,GDP_Deflator2017,U.S. Gross Domestic Product Implicit Price Deflator in 2017 = 1.00000,.64194,2017 = 1.00000
1994,GDPDIUS,GDP_Deflator2017,U.S. Gross Domestic Product Implicit Price Deflator in 2017 = 1.00000,.65564,2017 = 1.00000
1995,GDPDIUS,GDP_Deflator2017,U.S. Gross Domestic Product Implicit Price Deflator in 2017 = 1.00000,.66939,2017 = 1.00000
1996,GDPDIUS,GDP_Deflator2017,U.S. Gross Domestic Product Implicit Price Deflator in 2017 = 1.00000,.68164,2017 = 1.00000
1997,GDPDIUS,GDP_Deflator2017,U.S. Gross Domestic Product Implicit Price Deflator in 2017 = 1.00000,.6934,2017 = 1.00000
1998,GDPDIUS,GDP_Deflator2017,U.S. Gross Domestic Product Implicit Price Deflator in 2017 = 1.00000,.70119,2017 = 1.00000
1999,GDPDIUS,GDP_Deflator2017,U.S. Gross Domestic Product Implicit Price Deflator in 2017 = 1.00000,.71111,2017 = 1.00000
2000,GDPDIUS,GDP_Deflator2017,U.S. Gross Domestic Product Implicit Price Deflator in 2017 = 1.00000,.72722,2017 = 1.00000
2001,GDPDIUS,GDP_Deflator2017,U.S. Gross Domestic Product Implicit Price Deflator in 2017 = 1.00000,.7436,2017 = 1.00000
2002,GDPDIUS,GDP_Deflator2017,U.S. Gross Domestic Product Implicit Price Deflator in 2017 = 1.00000,.75515,2017 = 1.00000
2003,GDPDIUS,GDP_Deflator2017,U.S. Gross Domestic Product Implicit Price Deflator in 2017 = 1.00000,.77006,2017 = 1.00000
2004,GDPDIUS,GDP_Deflator2017,U.S. Gross Domestic Product Implicit Price Deflator in 2017 = 1.00000,.79077,2017 = 1.00000
2005,GDPDIUS,GDP_Deflator2017,U.S. Gross Domestic Product Implicit Price Deflator in 2017 = 1.00000,.81556,2017 = 1.00000
2006,GDPDIUS,GDP_Deflator2017,U.S. Gross Domestic Product Implicit Price Deflator in 2017 = 1.00000,.84071,2017 = 1.00000
2007,GDPDIUS,GDP_Deflator2017,U.S. Gross Domestic Product Implicit Price Deflator in 2017 = 1.00000,.86349,2017 = 1.00000
2008,GDPDIUS,GDP_Deflator2017,U.S. Gross Domestic Product Implicit Price Deflator in 2017 = 1.00000,.88013,2017 = 1.00000
2009,GDPDIUS,GDP_Deflator2017,U.S. Gross Domestic Product Implicit Price Deflator in 2017 = 1.00000,.88556,2017 = 1.00000
2010,GDPDIUS,GDP_Deflator2017,U.S. Gross Domestic Product Implicit Price Deflator in 2017 = 1.00000,.89632,2017 = 1.00000
2011,GDPDIUS,GDP_Deflator2017,U.S. Gross Domestic Product Implicit Price Deflator in 2017 = 1.00000,.91481,2017 = 1.00000
2012,GDPDIUS,GDP_Deflator2017,U.S. Gross Domestic Product Implicit Price Deflator in 2017 = 1.00000,.93185,2017 = 1.00000
2013,GDPDIUS,GDP_Deflator2017,U.S. Gross Domestic Product Implicit Price Deflator in 2017 = 1.00000,.94771,2017 = 1.00000
2014,GDPDIUS,GDP_Deflator2017,U.S. Gross Domestic Product Implicit Price Deflator in 2017 = 1.00000,.96421,2017 = 1.00000
2015,GDPDIUS,GDP_Deflator2017,U.S. Gross Domestic Product Implicit Price Deflator in 2017 = 1.00000,.97316,2017 = 1.00000
2016,GDPDIUS,GDP_Deflator2017,U.S. Gross Domestic Product Implicit Price Deflator in 2017 = 1.00000,.98241,2017 = 1.00000
2017,GDPDIUS,GDP_Deflator2017,U.S. Gross Domestic Product Implicit Price Deflator in 2017 = 1.00000,1,2017 = 1.00000
2018,GDPDIUS,GDP_Deflator2017,U.S. Gross Domestic Product Implicit Price Deflator in 2017 = 1.00000,1.02291,2017 = 1.00000
2019,GDPDIUS,GDP_Deflator2017,U.S. Gross Domestic Product Implicit Price Deflator in 2017 = 1.00000,1.03979,2017 = 1.00000
2020,GDPDIUS,GDP_Deflator2017,U.S. Gross Domestic Product Implicit Price Deflator in 2017 = 1.00000,1.05361,2017 = 1.00000
2021,GDPDIUS,GDP_Deflator2017,U.S. Gross Domestic Product Implicit Price Deflator in 2017 = 1.00000,1.10172,2017 = 1.00000
2022,GDPDIUS,GDP_Deflator2017,U.S. Gross Domestic Product Implicit Price Deflator in 2017 = 1.00000,1.18026,2017 = 1.00000
2023,GDPDIUS,GDP_Deflator2017,U.S. Gross Domestic Product Implicit Price Deflator in 2017 = 1.00000,1.22273,2017 = 1.00000
2024,GDPDIUS,GDP_Deflator2017,U.S. Gross Domestic Product Implicit Price Deflator in 2017 = 1.00000,1.25234,2017 = 1.00000
1949,GDPRVUS,GDP_Nominal,"U.S. Gross Domestic Product, Nominal in Billion Dollars",272.5,Billion Dollars
1950,GDPRVUS,GDP_Nominal,"U.S. Gross Domestic Product, Nominal in Billion Dollars",299.8,Billion Dollars
1951,GDPRVUS,GDP_Nominal,"U.S. Gross Domestic Product, Nominal in Billion Dollars",346.9,Billion Dollars
1952,GDPRVUS,GDP_Nominal,"U.S. Gross Domestic Product, Nominal in Billion Dollars",367.3,Billion Dollars
1953,GDPRVUS,GDP_Nominal,"U.S. Gross Domestic Product, Nominal in Billion Dollars",389.2,Billion Dollars
1954,GDPRVUS,GDP_Nominal,"U.S. Gross Domestic Product, Nominal in Billion Dollars",390.5,Billion Dollars
1955,GDPRVUS,GDP_Nominal,"U.S. Gross Domestic Product, Nominal in Billion Dollars",425.5,Billion Dollars
1956,GDPRVUS,GDP_Nominal,"U.S. Gross Domestic Product, Nominal in Billion Dollars",449.4,Billion Dollars
1957,GDPRVUS,GDP_Nominal,"U.S. Gross Domestic Product, Nominal in Billion Dollars",474,Billion Dollars
1958,GDPRVUS,GDP_Nominal,"U.S. Gross Domestic Product, Nominal in Billion Dollars",481.2,Billion Dollars
1959,GDPRVUS,GDP_Nominal,"U.S. Gross Domestic Product, Nominal in Billion Dollars",521.7,Billion Dollars
1960,GDPRVUS,GDP_Nominal,"U.S. Gross Domestic Product, Nominal in Billion Dollars",542.4,Billion Dollars
1961,GDPRVUS,GDP_Nominal,"U.S. Gross Domestic Product, Nominal in Billion Dollars",562.2,Billion Dollars
1962,GDPRVUS,GDP_Nominal,"U.S. Gross Domestic Product, Nominal in Billion Dollars",603.9,Billion Dollars
1963,GDPRVUS,GDP_Nominal,"U.S. Gross Domestic Product, Nominal in Billion Dollars",637.5,Billion Dollars
1964,GDPRVUS,GDP_Nominal,"U.S. Gross Domestic Product, Nominal in Billion Dollars",684.5,Billion Dollars
1965,GDPRVUS,GDP_Nominal,"U.S. Gross Domestic Product, Nominal in Billion Dollars",742.3,Billion Dollars
1966,GDPRVUS,GDP_Nominal,"U.S. Gross Domestic Product, Nominal in Billion Dollars",813.4,Billion Dollars
1967,GDPRVUS,GDP_Nominal,"U.S. Gross Domestic Product, Nominal in Billion Dollars",860,Billion Dollars
1968,GDPRVUS,GDP_Nominal,"U.S. Gross Domestic Product, Nominal in Billion Dollars",940.7,Billion Dollars
1969,GDPRVUS,GDP_Nominal,"U.S. Gross Domestic Product, Nominal in Billion Dollars",1017.6,Billion Dollars
1970,GDPRVUS,GDP_Nominal,"U.S. Gross Domestic Product, Nominal in Billion Dollars",1073.3,Billion Dollars
1971,GDPRVUS,GDP_Nominal,"U.S. Gross Domestic Product, Nominal in Billion Dollars",1164.9,Billion Dollars
1972,GDPRVUS,GDP_Nominal,"U.S. Gross Domestic Product, Nominal in Billion Dollars",1279.1,Billion Dollars
1973,GDPRVUS,GDP_Nominal,"U.S. Gross Domestic Product, Nominal in Billion Dollars",1425.4,Billion Dollars
1974,GDPRVUS,GDP_Nominal,"U.S. Gross Domestic Product, Nominal in Billion Dollars",1545.2,Billion Dollars
1975,GDPRVUS,GDP_Nominal,"U.S. Gross Domestic Product, Nominal in Billion Dollars",1684.9,Billion Dollars
1976,GDPRVUS,GDP_Nominal,"U.S. Gross Domestic Product, Nominal in Billion Dollars",1873.4,Billion Dollars
1977,GDPRVUS,GDP_Nominal,"U.S. Gross Domestic Product, Nominal in Billion Dollars",2081.8,Billion Dollars
1978,GDPRVUS,GDP_Nominal,"U.S. Gross Domestic Product, Nominal in Billion Dollars",2351.6,Billion Dollars
1979,GDPRVUS,GDP_Nominal,"U.S. Gross Domestic Product, Nominal in Billion Dollars",2627.3,Billion Dollars
1980,GDPRVUS,GDP_Nominal,"U.S. Gross Domestic Product, Nominal in Billion Dollars",2857.3,Billion Dollars
1981,GDPRVUS,GDP_Nominal,"U.S. Gross Domestic Product, Nominal in Billion Dollars",3207,Billion Dollars
1982,GDPRVUS,GDP_Nominal,"U.S. Gross Domestic Product, Nominal in Billion Dollars",3343.8,Billion Dollars
1983,GDPRVUS,GDP_Nominal,"U.S. Gross Domestic Product, Nominal in Billion Dollars",3634,Billion Dollars
1984,GDPRVUS,GDP_Nominal,"U.S. Gross Domestic Product, Nominal in Billion Dollars",4037.6,Billion Dollars
1985,GDPRVUS,GDP_Nominal,"U.S. Gross Domestic Product, Nominal in Billion Dollars",4339,Billion Dollars
1986,GDPRVUS,GDP_Nominal,"U.S. Gross Domestic Product, Nominal in Billion Dollars",4579.6,Billion Dollars
1987,GDPRVUS,GDP_Nominal,"U.S. Gross Domestic Product, Nominal in Billion Dollars",4855.2,Billion Dollars
1988,GDPRVUS,GDP_Nominal,"U.S. Gross Domestic Product, Nominal in Billion Dollars",5236.4,Billion Dollars
1989,GDPRVUS,GDP_Nominal,"U.S. Gross Domestic Product, Nominal in Billion Dollars",5641.6,Billion Dollars
1990,GDPRVUS,GDP_Nominal,"U.S. Gross Domestic Product, Nominal in Billion Dollars",5963.1,Billion Dollars
1991,GDPRVUS,GDP_Nominal,"U.S. Gross Domestic Product, Nominal in Billion Dollars",6158.1,Billion Dollars
1992,GDPRVUS,GDP_Nominal,"U.S. Gross Domestic Product, Nominal in Billion Dollars",6520.3,Billion Dollars
1993,GDPRVUS,GDP_Nominal,"U.S. Gross Domestic Product, Nominal in Billion Dollars",6858.6,Billion Dollars
1994,GDPRVUS,GDP_Nominal,"U.S. Gross Domestic Product, Nominal in Billion Dollars",7287.2,Billion Dollars
1995,GDPRVUS,GDP_Nominal,"U.S. Gross Domestic Product, Nominal in Billion Dollars",7639.7,Billion Dollars
1996,GDPRVUS,GDP_Nominal,"U.S. Gross Domestic Product, Nominal in Billion Dollars",8073.1,Billion Dollars
1997,GDPRVUS,GDP_Nominal,"U.S. Gross Domestic Product, Nominal in Billion Dollars",8577.6,Billion Dollars
1998,GDPRVUS,GDP_Nominal,"U.S. Gross Domestic Product, Nominal in Billion Dollars",9062.8,Billion Dollars
1999,GDPRVUS,GDP_Nominal,"U.S. Gross Domestic Product, Nominal in Billion Dollars",9631.2,Billion Dollars
2000,GDPRVUS,GDP_Nominal,"U.S. Gross Domestic Product, Nominal in Billion Dollars",10251,Billion Dollars
2001,GDPRVUS,GDP_Nominal,"U.S. Gross Domestic Product, Nominal in Billion Dollars",10581.9,Billion Dollars
2002,GDPRVUS,GDP_Nominal,"U.S. Gross Domestic Product, Nominal in Billion Dollars",10929.1,Billion Dollars
2003,GDPRVUS,GDP_Nominal,"U.S. Gross Domestic Product, Nominal in Billion Dollars",11456.5,Billion Dollars
2004,GDPRVUS,GDP_Nominal,"U.S. Gross Domestic Product, Nominal in Billion Dollars",12217.2,Billion Dollars
2005,GDPRVUS,GDP_Nominal,"U.S. Gross Domestic Product, Nominal in Billion Dollars",13039.2,Billion Dollars
